imdb	transphobic	showsTransphobia	transJokes	transPlayedByCis	deadTrans	title
tt0248845	1	1	0	1	0	Hedwig and the Angry Inch
tt2232345	1	1	0	1	0	Hit & Miss
tt0412142	1	1	1	1	0	House
tt0460649	1	1	1	-	0	How I Met Your Mother
tt6885366	0	1	0	1	0	Hubert and Fanny
tt1299047	1	1	0	-	0	Huckabee
tt4733278	0	1	0	-	0	I Am Cait
tt4523638	0	?	0	-	0	I Am Jazz
tt1176156	?	?	?	0	0	I Want to Work for Diddy
tt0472954	1	1	1	-	0	It’s Always Sunny In Philadelphia
tt0810913	1	1	0	-	0	Jack & Jill
tt0120974	1	1	0	-	0	Jerry Springer
tt0118364	1	1	1	1	0	Just Shoot Me!
tt2354136	1	1	0	-	0	Katie
tt0384746	1	1	1	1	0	Kenny vs Spenny
tt1981558	1	1	1	-	0	Key & Peele
tt0118375	1	1	1	1	0	King of the Hill
tt0089424	1	1	0	1	1	Kiss of the Spider Woman
tt0455538	1	1	1	1	0	How to Lose Friends & Alienate People
tt1650048	1	1	0	1	0	Laurence Anyways
tt0161160	1	1	0	1	0	L.A. Doctors
tt0098844	1	1	0	1	?	Law & Order
tt0203259	1	1	0	1	1	Law & Order: Special Victims Unit
tt0185431	1	1	1	1	0	Little Nicky
tt0119590	1	1	0	1	0	Ma vie en rose
tt6772168	1	1	0	-	0	Mark Latham's Outsiders
tt0120986	1	1	0	-	0	Maury
tt0063928	1	1	0	1	?	Medical Center
tt0119668	?	?	0	0	?	Midnight in the Garden of Good and Evil
tt1608180	1	1	1	1	0	Mike & Molly
tt2660806	1	1	1	-	0	Mom
tt0107614	1	1	0	-	0	Mrs. Doubtfire
tt0066115	1	1	0	1	0	Myra Breckinridge
tt0110622	1	1	1	1	0	Naked Gun 33 1/3
tt4687724	?	?	0	-	0	New Girls on the Block
tt0361217	1	1	0	1	0	Nip/Tuck
tt0338290	1	1	0	1	0	Normal
tt1670345	1	1	1	-	0	Now You See Me
tt0089730	1	1	0	1	0	Once Bitten
tt2372162	0	?	0	0	0	Orange Is the New Black
tt0107756	1	1	1	1	0	Orlando
